,epoch,corrects,acc_total
126,126,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
127,127,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
128,128,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
129,129,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
130,130,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
131,131,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
132,132,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
133,133,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
134,134,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
135,135,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
136,136,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
137,137,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
138,138,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
139,139,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
140,140,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
141,141,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
142,142,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
143,143,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
144,144,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
145,145,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
146,146,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
147,147,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
148,148,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
149,149,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
150,150,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
151,151,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
152,152,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
153,153,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
154,154,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
155,155,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
156,156,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
157,157,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
158,158,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
159,159,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
160,160,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
161,161,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
162,162,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
163,163,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
164,164,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
165,165,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
166,166,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
167,167,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
168,168,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
169,169,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
170,170,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
171,171,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
172,172,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
173,173,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
174,174,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
175,175,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
176,176,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
177,177,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
178,178,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
179,179,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
180,180,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
181,181,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
